motion,2019-10-20 10:01:56.355 PM,inactive
motion,2019-10-20 10:00:59.063 PM,active
motion,2019-10-20 10:00:20.259 PM,inactive
motion,2019-10-20 10:00:09.590 PM,active
motion,2019-10-20 9:54:58.300 PM,inactive
motion,2019-10-20 9:54:46.450 PM,active
motion,2019-10-20 9:53:16.790 PM,inactive
motion,2019-10-20 9:53:00.991 PM,active
motion,2019-10-20 9:48:03.005 PM,inactive
motion,2019-10-20 9:46:42.120 PM,active
motion,2019-10-20 9:46:20.643 PM,inactive
motion,2019-10-20 9:45:55.730 PM,active
motion,2019-10-20 9:45:28.553 PM,inactive
motion,2019-10-20 9:44:58.580 PM,active
temperature,2019-10-20 9:39:06.960 PM,66
temperature,2019-10-20 9:09:01.845 PM,67
motion,2019-10-20 9:08:15.120 PM,inactive
motion,2019-10-20 9:07:37.807 PM,active
motion,2019-10-20 9:06:42.736 PM,inactive
motion,2019-10-20 9:06:28.377 PM,active
motion,2019-10-20 9:02:01.140 PM,inactive
motion,2019-10-20 9:01:34.450 PM,active
motion,2019-10-20 9:01:01.587 PM,inactive
motion,2019-10-20 9:00:46.369 PM,active
motion,2019-10-20 8:57:04.370 PM,inactive
motion,2019-10-20 8:56:48.086 PM,active
motion,2019-10-20 8:56:23.560 PM,inactive
motion,2019-10-20 8:55:19.470 PM,active
temperature,2019-10-20 8:48:58.465 PM,66
motion,2019-10-20 8:17:45.757 PM,inactive
motion,2019-10-20 8:17:29.439 PM,active
motion,2019-10-20 8:17:25.570 PM,inactive
motion,2019-10-20 8:15:50.918 PM,active
motion,2019-10-20 7:37:59.723 PM,inactive
motion,2019-10-20 7:36:05.814 PM,active
motion,2019-10-20 7:36:03.636 PM,inactive
motion,2019-10-20 7:35:39.330 PM,active
motion,2019-10-20 7:35:26.967 PM,inactive
motion,2019-10-20 7:35:16.510 PM,active
motion,2019-10-20 7:34:45.660 PM,inactive
motion,2019-10-20 7:34:33.020 PM,active
motion,2019-10-20 7:33:48.276 PM,inactive
motion,2019-10-20 7:33:21.070 PM,active
motion,2019-10-20 7:32:24.674 PM,inactive
motion,2019-10-20 7:32:10.890 PM,active
motion,2019-10-20 7:32:07.965 PM,inactive
motion,2019-10-20 7:31:56.547 PM,active
motion,2019-10-20 6:51:47.726 PM,inactive
motion,2019-10-20 6:51:37.110 PM,active
motion,2019-10-20 6:51:12.961 PM,inactive
motion,2019-10-20 6:50:57.879 PM,active
motion,2019-10-20 6:48:44.760 PM,inactive
motion,2019-10-20 6:48:29.420 PM,active
motion,2019-10-20 6:46:19.981 PM,inactive
motion,2019-10-20 6:46:09.390 PM,active
motion,2019-10-20 6:20:33.277 PM,inactive
motion,2019-10-20 6:20:22.745 PM,active
motion,2019-10-20 4:56:03.458 PM,inactive
motion,2019-10-20 4:55:47.120 PM,active
motion,2019-10-20 4:55:23.400 PM,inactive
motion,2019-10-20 4:55:09.376 PM,active
motion,2019-10-20 4:55:00.700 PM,inactive
motion,2019-10-20 4:54:49.909 PM,active
motion,2019-10-20 4:35:18.161 PM,inactive
motion,2019-10-20 4:35:07.896 PM,active
motion,2019-10-20 4:34:50.936 PM,inactive
motion,2019-10-20 4:34:40.510 PM,active
motion,2019-10-20 4:10:23.495 PM,inactive
motion,2019-10-20 4:10:13.010 PM,active
motion,2019-10-20 3:36:20.622 PM,inactive
motion,2019-10-20 3:36:10.050 PM,active
motion,2019-10-20 3:35:50.504 PM,inactive
motion,2019-10-20 3:35:39.835 PM,active
motion,2019-10-20 3:32:35.173 PM,inactive
motion,2019-10-20 3:32:24.575 PM,active
motion,2019-10-20 3:30:47.845 PM,inactive
motion,2019-10-20 3:30:36.080 PM,active
motion,2019-10-20 3:30:11.488 PM,inactive
motion,2019-10-20 3:29:56.308 PM,active
motion,2019-10-20 3:27:32.625 PM,inactive
motion,2019-10-20 3:27:18.805 PM,active
motion,2019-10-20 3:27:15.400 PM,inactive
motion,2019-10-20 3:27:04.880 PM,active
motion,2019-10-20 3:26:58.800 PM,inactive
motion,2019-10-20 3:26:48.088 PM,active
motion,2019-10-20 3:26:32.050 PM,inactive
motion,2019-10-20 3:26:20.460 PM,active
motion,2019-10-20 3:26:14.020 PM,inactive
motion,2019-10-20 3:26:03.270 PM,active
motion,2019-10-20 3:25:04.779 PM,inactive
motion,2019-10-20 3:24:44.530 PM,active
motion,2019-10-20 3:23:23.886 PM,inactive
motion,2019-10-20 3:23:07.288 PM,active
motion,2019-10-20 3:23:06.252 PM,inactive
motion,2019-10-20 3:22:51.930 PM,active
motion,2019-10-20 3:22:31.092 PM,inactive
motion,2019-10-20 3:22:15.850 PM,active
motion,2019-10-20 3:21:52.580 PM,inactive
motion,2019-10-20 3:21:36.350 PM,active
motion,2019-10-20 3:20:39.209 PM,inactive
motion,2019-10-20 3:20:21.275 PM,active
motion,2019-10-20 3:18:05.270 PM,inactive
motion,2019-10-20 3:17:44.695 PM,active
motion,2019-10-20 3:17:31.170 PM,inactive
motion,2019-10-20 3:17:20.002 PM,active
motion,2019-10-20 3:17:03.270 PM,inactive
motion,2019-10-20 3:16:46.770 PM,active
motion,2019-10-20 3:16:42.112 PM,inactive
motion,2019-10-20 3:16:31.535 PM,active
motion,2019-10-20 3:15:44.005 PM,inactive
motion,2019-10-20 3:15:11.241 PM,active
motion,2019-10-20 3:15:10.195 PM,inactive
motion,2019-10-20 3:14:35.176 PM,active
motion,2019-10-20 3:13:39.240 PM,inactive
motion,2019-10-20 3:13:18.615 PM,active
motion,2019-10-20 3:11:47.895 PM,inactive
motion,2019-10-20 3:11:31.935 PM,active
motion,2019-10-20 3:10:45.603 PM,inactive
motion,2019-10-20 3:10:24.710 PM,active
motion,2019-10-20 3:10:21.638 PM,inactive
motion,2019-10-20 3:09:51.822 PM,active
motion,2019-10-20 3:08:01.210 PM,inactive
motion,2019-10-20 3:07:43.160 PM,active
motion,2019-10-20 3:07:14.925 PM,inactive
motion,2019-10-20 3:06:56.757 PM,active
motion,2019-10-20 3:00:17.885 PM,inactive
motion,2019-10-20 2:59:58.118 PM,active
motion,2019-10-20 2:55:21.730 PM,inactive
motion,2019-10-20 2:55:07.547 PM,active
motion,2019-10-20 2:51:46.860 PM,inactive
motion,2019-10-20 2:51:31.600 PM,active
motion,2019-10-20 2:51:10.880 PM,inactive
motion,2019-10-20 2:49:51.000 PM,active
motion,2019-10-20 2:49:28.393 PM,inactive
motion,2019-10-20 2:49:00.266 PM,active
motion,2019-10-20 2:46:30.730 PM,inactive
motion,2019-10-20 2:46:09.910 PM,active
motion,2019-10-20 2:42:40.947 PM,inactive
motion,2019-10-20 2:42:18.500 PM,active
motion,2019-10-20 2:41:59.540 PM,inactive
motion,2019-10-20 2:41:35.620 PM,active
motion,2019-10-20 2:41:23.816 PM,inactive
motion,2019-10-20 2:41:11.299 PM,active
motion,2019-10-20 2:41:03.481 PM,inactive
motion,2019-10-20 2:40:40.340 PM,active
motion,2019-10-20 2:40:18.770 PM,inactive
motion,2019-10-20 2:40:08.290 PM,active
motion,2019-10-20 2:39:27.325 PM,inactive
motion,2019-10-20 2:39:12.068 PM,active
motion,2019-10-20 2:38:42.014 PM,inactive
motion,2019-10-20 2:38:25.670 PM,active
motion,2019-10-20 2:37:58.727 PM,inactive
motion,2019-10-20 2:36:45.350 PM,active
motion,2019-10-20 2:36:41.020 PM,inactive
motion,2019-10-20 2:36:24.110 PM,active
motion,2019-10-20 2:33:15.529 PM,inactive
motion,2019-10-20 2:33:01.410 PM,active
motion,2019-10-20 2:31:05.481 PM,inactive
motion,2019-10-20 2:30:42.027 PM,active
motion,2019-10-20 2:22:56.217 PM,inactive
motion,2019-10-20 2:22:45.585 PM,active
motion,2019-10-20 2:21:50.556 PM,inactive
motion,2019-10-20 2:21:40.081 PM,active
motion,2019-10-20 2:21:33.307 PM,inactive
motion,2019-10-20 2:21:22.877 PM,active
motion,2019-10-20 2:12:18.040 PM,inactive
motion,2019-10-20 2:12:07.700 PM,active
motion,2019-10-20 2:11:57.140 PM,inactive
motion,2019-10-20 2:11:33.715 PM,active
motion,2019-10-20 2:11:11.220 PM,inactive
motion,2019-10-20 2:10:54.920 PM,active
motion,2019-10-20 2:10:29.125 PM,inactive
motion,2019-10-20 2:10:17.240 PM,active
motion,2019-10-20 2:10:14.055 PM,inactive
motion,2019-10-20 2:10:03.697 PM,active
motion,2019-10-20 2:09:43.120 PM,inactive
motion,2019-10-20 2:09:29.890 PM,active
motion,2019-10-20 2:09:04.425 PM,inactive
motion,2019-10-20 2:08:24.555 PM,active
motion,2019-10-20 2:06:31.786 PM,inactive
motion,2019-10-20 2:06:21.176 PM,active
motion,2019-10-20 2:03:42.265 PM,inactive
motion,2019-10-20 2:03:30.815 PM,active
motion,2019-10-20 2:00:23.655 PM,inactive
motion,2019-10-20 2:00:09.495 PM,active
motion,2019-10-20 1:59:11.656 PM,inactive
motion,2019-10-20 1:58:57.395 PM,active
motion,2019-10-20 1:57:45.150 PM,inactive
motion,2019-10-20 1:57:31.090 PM,active
motion,2019-10-20 1:57:19.865 PM,inactive
motion,2019-10-20 1:57:01.760 PM,active
motion,2019-10-20 1:56:54.020 PM,inactive
motion,2019-10-20 1:56:38.980 PM,active
motion,2019-10-20 1:56:22.744 PM,inactive
motion,2019-10-20 1:56:06.070 PM,active
motion,2019-10-20 1:55:43.905 PM,inactive
motion,2019-10-20 1:55:01.535 PM,active
motion,2019-10-20 1:54:40.170 PM,inactive
motion,2019-10-20 1:54:09.430 PM,active
motion,2019-10-20 1:08:46.000 PM,inactive
motion,2019-10-20 1:08:23.440 PM,active
motion,2019-10-20 1:04:16.135 PM,inactive
motion,2019-10-20 1:01:44.709 PM,active
motion,2019-10-20 1:00:09.027 PM,inactive
motion,2019-10-20 12:59:38.130 PM,active
motion,2019-10-20 12:59:35.730 PM,inactive
motion,2019-10-20 12:59:16.390 PM,active
motion,2019-10-20 12:58:31.340 PM,inactive
motion,2019-10-20 12:57:24.451 PM,active
motion,2019-10-20 12:55:57.160 PM,inactive
motion,2019-10-20 12:55:31.570 PM,active
motion,2019-10-20 12:54:56.219 PM,inactive
motion,2019-10-20 12:54:38.924 PM,active
motion,2019-10-20 12:54:32.860 PM,inactive
motion,2019-10-20 12:54:21.191 PM,active
motion,2019-10-20 12:54:00.867 PM,inactive
motion,2019-10-20 12:53:50.293 PM,active
motion,2019-10-20 12:52:51.271 PM,inactive
motion,2019-10-20 12:52:40.830 PM,active
motion,2019-10-20 12:52:26.560 PM,inactive
motion,2019-10-20 12:52:16.240 PM,active
motion,2019-10-20 12:49:58.200 PM,inactive
motion,2019-10-20 12:49:44.138 PM,active
motion,2019-10-20 12:47:11.600 PM,inactive
motion,2019-10-20 12:46:59.380 PM,active
motion,2019-10-20 12:46:34.885 PM,inactive
motion,2019-10-20 12:46:15.727 PM,active
motion,2019-10-20 12:46:00.350 PM,inactive
motion,2019-10-20 12:45:44.370 PM,active
motion,2019-10-20 12:45:40.308 PM,inactive
motion,2019-10-20 12:45:26.520 PM,active
motion,2019-10-20 12:31:52.690 PM,active
motion,2019-10-20 12:31:12.475 PM,inactive
